"State or
district","Biden/Harris
Democratic",,,"Trump/Pence
Republican",,,"Jorgensen/Cohen
Libertarian",,,"Hawkins/Walker
Green",,,Others,,,Margin,,"Margin
swing","Total
votes"
N.Y.,"5,244,886",60.87%,29,"3,251,997",37.74%,–,"60,383",0.70%,–,"32,832",0.38%,–,"26,763",0.31%,–,"1,992,889",23.13%,0.64%,"8,616,861"
N.C.,"2,684,292",48.59%,–,"2,758,775",49.93%,15,"48,678",0.88%,–,"12,195",0.22%,–,"20,864",0.38%,–,"-74,483",-1.35%,2.31%,"5,524,804"
N.D.,"115,042",31.78%,–,"235,751",65.12%,3,"9,371",2.59%,–,,,–,"1,860",0.51%,–,"-120,709",-33.34%,2.39%,"362,024"
Ohio,"2,679,165",45.24%,–,"3,154,834",53.27%,18,"67,569",1.14%,–,"18,812",0.32%,–,"1,822",0.03%,–,"-475,669",-8.03%,0.10%,"5,922,202"
Okla.,"503,890",32.29%,–,"1,020,280",65.37%,7,"24,731",1.58%,–,–,–,–,"11,798",0.76%,–,"-516,390",-33.09%,3.99%,"1,560,699"
Oregon,"1,340,383",56.45%,7,"958,448",40.37%,–,"41,582",1.75%,–,"11,831",0.50%,–,"22,077",0.93%,–,"381,935",16.08%,5.10%,"2,374,321"
Pa.,"3,458,229",50.02%,20,"3,377,674",48.69%,–,"79,380",1.14%,–,"1,282",0.02%,–,"20,411",0.29%,–,"80,555",1.16%,1.88%,"6,936,976"
R.I.,"307,486",59.39%,4,"199,922",38.61%,–,"5,053",0.98%,–,,,–,"5,296",1.02%,–,"107,564",20.77%,5.26%,"517,757"
S.C.,"1,091,541",43.43%,–,"1,385,103",55.11%,9,"27,916",1.11%,–,"6,907",0.27%,–,"1,862",0.07%,–,"-293,562",-11.68%,2.59%,"2,513,329"
S.D.,"150,471",35.61%,–,"261,043",61.77%,3,"11,095",2.63%,–,–,–,–,–,–,–,"-110,572",-26.16%,3.63%,"422,609"
Tenn.,"1,143,711",37.45%,–,"1,852,475",60.66%,11,"29,877",0.98%,–,"4,545",0.15%,–,"23,243",0.76%,–,"-708,764",-23.21%,2.80%,"3,053,851"
Texas,"5,259,126",46.48%,–,"5,890,347",52.06%,38,"126,243",1.12%,–,"33,396",0.30%,–,"5,944",0.05%,–,"-631,221",-5.58%,3.41%,"11,315,056"
Utah,"560,282",37.65%,–,"865,140",58.13%,6,"38,447",2.58%,–,"5,053",0.34%,–,"19,367",1.30%,–,"-304,858",-20.48%,-2.40%,"1,488,289"
Vt.,"242,820",66.09%,3,"112,704",30.67%,–,"3,608",0.98%,–,"1,310",0.36%,–,"6,986",1.90%,–,"130,116",35.41%,9.00%,"367,428"
Va.,"2,413,568",54.11%,13,"1,962,430",44.00%,–,"64,761",1.45%,–,,,–,"19,765",0.44%,–,"451,138",10.11%,4.79%,"4,460,524"
Wash.,"2,369,612",57.97%,12,"1,584,651",38.77%,–,"80,500",1.97%,–,"18,289",0.45%,–,"34,579",0.85%,–,"784,961",19.20%,3.49%,"4,087,631"
W.Va.,"235,984",29.69%,–,"545,382",68.62%,5,"10,687",1.34%,–,"2,599",0.33%,–,79,0.01%,–,"-309,398",-38.93%,3.14%,"794,731"
Wis.,"1,630,866",49.45%,10,"1,610,184",48.82%,–,"38,491",1.17%,–,"1,089",0.03%,–,"17,411",0.53%,–,"20,682",0.63%,1.40%,"3,298,041"
Wyo.,"73,491",26.55%,–,"193,559",69.94%,3,"5,768",2.08%,–,,,–,"3,947",1.43%,–,"-120,068",-43.38%,2.92%,"276,765"
